21;21;Sommerfugl
36;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;35
25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;24
25;1;0;1;4;6;6;15;3;1;4;6;6;6;15;6;3;1;0;1;24
25;1;5;1;1;1;1;5;1;1;1;1;1;1;5;1;1;1;5;1;24
25;1;14;6;6;3;1;5;1;9;6;6;10;1;5;1;0;1;2;1;24
25;1;5;1;1;1;1;5;1;11;6;6;12;1;2;1;5;1;1;1;24
25;1;2;1;0;1;9;13;1;1;1;1;1;1;1;1;11;6;3;1;24
25;1;1;1;5;1;11;12;1;4;6;6;3;1;0;1;1;1;1;1;24
34;18;19;1;5;1;1;1;1;1;1;1;1;1;11;6;3;1;20;18;33
23;23;22;1;2;1;0;1;20;18;26;18;19;1;1;1;1;1;21;23;23
1;1;1;1;1;1;5;1;24;27;27;27;25;1;9;6;10;1;1;1;1
18;18;19;1;4;6;13;1;21;23;23;23;22;1;5;17;5;1;20;18;18
36;23;22;1;1;1;5;1;1;1;1;1;1;1;11;6;12;1;21;23;35
25;1;1;1;0;1;11;3;1;9;10;1;0;1;1;1;1;1;1;1;24
25;1;4;6;12;1;1;1;1;5;5;1;11;6;6;6;10;1;0;1;24
25;1;1;1;1;1;1;0;1;11;12;1;1;1;1;1;2;1;5;1;24
25;1;9;6;6;10;1;5;1;1;1;1;4;6;3;1;1;1;5;1;24
25;1;5;17;17;5;1;14;10;1;0;1;1;1;1;1;0;1;5;1;24
25;1;11;6;6;12;1;11;12;1;11;6;6;6;6;6;12;1;2;1;24
25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;24
34;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;33
